game_date,attendance
2021-12-21,
2021-11-09,1405.0
2021-10-05,720.0
2021-09-20,1779.0
2021-09-14,1209.0
2020-01-07,901.0
2019-12-04,632.0
2019-11-12,1196.0
2019-10-08,978.0
2018-10-30,747.0
2018-10-09,1379.0
2018-09-04,2174.0
2000-01-26,15864.0
2000-01-12,13303.0
1999-11-30,7039.0
1999-10-12,5328.0
1999-08-24,4800.0
1999-08-10,3298.0
1999-01-02,7223.0
1998-09-22,5765.0
1998-09-15,3954.0
1998-08-18,2106.0
1998-08-11,5116.0
1998-01-24,14055.0
1998-01-03,7473.0
1997-01-14,10090.0
1996-08-21,2875.0
1996-01-06,10230.0
1995-01-18,7921.0
1995-01-07,5755.0
1994-01-08,5283.0
1993-01-23,13683.0
1993-01-12,12525.0
1993-01-02,13389.0
1992-01-04,6027.0
1991-12-17,5546.0
1991-12-07,4646.0
1991-11-16,6565.0
1990-12-08,3576.0
1990-11-17,3690.0
1989-11-18,7521.0
1989-01-11,6574.0
1989-01-07,7799.0
1988-12-10,2594.0
1988-11-22,7676.0
1988-11-19,7734.0
1987-11-16,4097.0
1987-11-14,4035.0
1987-08-25,2316.0
1987-08-18,1598.0
1986-12-06,6193.0
1986-11-15,1238.0
1986-09-02,1433.0
1986-08-26,1543.0
1985-12-10,3210.0
1985-12-07,3398.0
1985-11-19,2950.0
1985-11-16,2252.0
1985-09-04,2384.0
1985-08-28,2220.0
1984-12-08,4269
1984-11-20,2256
1984-11-17,2130
1984-09-04,2560
1984-08-28,1987
1983-11-22,6305.0
1983-11-19,5497.0
1983-09-12,2992.0
1983-08-30,3232.0
1983-01-08,10803.0
1982-12-14,4087.0
1982-12-11,4010.0
1982-11-20,2836.0
1982-08-31,1907.0
1981-12-02,12224
1981-11-24,4648
1981-11-21,3382
1981-11-10,2482
1981-10-28,2372
1981-10-05,2791
1981-09-15,2363
1981-09-01,2034
1980-12-13,6763
1980-11-25,3036
1980-11-22,2687
1980-09-03,4239
1980-08-26,10036
1980-08-09,2651
1979-12-18,2706
1979-12-15,2529
1979-11-24,2114
1979-08-15,3026
1979-08-11,3213
1979-05-09,1016
1979-05-04,3854
1979-04-30,1121
1979-04-27,1453
1979-04-24,6013
1979-04-21,9963
1979-04-18,1254
1979-04-16,1504
1979-04-14,4798
1979-04-06,2781
1979-04-03,3499
1979-03-30,1250
1979-03-26,1222
1979-03-24,5885
1979-03-16,984
1979-03-10,4090
1979-03-06,4330
1979-03-03,1882
1979-02-27,3434
1979-02-24,4579
1979-02-19,2445
1979-02-16,1381
1979-02-10,4129
1979-02-03,7413
1979-01-13,5480
